,index,comment,n_star,date_time,label,positive_count,neutral_count,negative_count
0,0,mới mua máy thegioididong thốt_nốt cảm_thấy ok bin trâu chụp ảnh đẹp loa nghe to bắt wf khỏe_sóng ổn_định giá_thành túi_tiền nhân_viên tư_vấn nhiệt_tình,5,2020-04-21,Positive,6,0,0
1,1,pin kém còn miễn chê mua 832019 tình_trạng pin còn 88 ai giống tôi,5,2019-09-14,Neutral,1,0,1
2,2,sao gọi điện_thoại màn_hình chấm nhỏ nháy gần camera vậylúc,3,2020-08-17,Negative,0,0,1
3,3,mọi người cập_nhật phần_mềm nó bớt tốn pin mình thử mọi thứ ok vân tay ko nhạy,3,2020-02-29,Neutral,0,2,1
4,4,mới mua sài 1 tháng thấy pin trâu sài bao mượt 1 lỗi nhỏ mình nghe nhạc bằng tai_nghe nghe hơi lâu ko biết sao nó ko nghe mất rút tai_nghe cắm nó mới nghe,5,2020-04-06,Positive,2,0,1
5,5,xài tốt mượt pin trâu bạn độ sáng đủ nhân_viên nhiệt_tình vui_vẻ nói_chung tầm giá máy quá tốt,5,2019-06-20,Positive,3,2,0
6,6,mình mới xài 7 tháng xuống 7 pin chả hiểu máy mới kiểu dùng cơ_bản lướt web cơ_bản game ko chơi,1,2020-04-21,Negative,0,0,1
7,7,hôm ngày 2362020 e thế_giới di_động mua dthoai galaxy a51 đầu bên cửa_hàng báo_giá 779000đ tặng phiếu mua hàng 250k thanh_toán nhân_viên thanh_toán 7990000đ phiếu mua hàng đi 20km xuống mua thoai tối về đến nhà nhân_viên mới gọi đến xin_lỗi sai xót bảo mình xuống nhận phiếu mua hàng 250k chán quá đúng làm mất thời_gian,2,2020-06-23,Negative,0,0,1
8,8,sao điện_thoại mới sạc nó nóng máy quá trời t_tắt tất mạng ứng dung game cấm ko chạy nền ko sạc dùng điện_thoại nóng quá trời sạc 3 tiếng mới đầy,2,2019-12-23,Negative,0,0,1
9,9,đầu định mua samsung shop nhân_viên tư_vấn oppo a9 thất_vọng thực dùng oppo màn_hình hiển_thị tối_om máy chơi game giật lang khó_chịu vl sạc lâu k bao_giờ dungg oppo,1,2020-05-31,Negative,0,0,4
10,10,mọi thứ ngon trong tầm giá lần đầu xài xiaomi cảm_thấy hài_lòng về chất_lượng,5,2020-05-30,Positive,2,1,0
11,11,khá ổn trong tầm giá cam đẹp sạc nhanh màn_hình đẹp âm_thanh hay phù_hợp người thích chơi game tuy_nhiên màn_hình hơi tối ngoài_trời,5,2020-04-21,Positive,4,2,0
12,12,đi thoại mượt chơi game ngon âm báo_thức bật maxloa luôn nghe nhỏ nhân_viên phục_vụ nhiệt_tình,4,2019-07-06,Positive,2,0,1
13,13,máy tốt trong tầm giá pin trâu màn_hình đẹp to camera đẹp chơi tựa game ở cấu_hình ổn cảm_biến vân tay quang_học trong màn_hình hơi chậm k hỗ_trợ chụp đêm chụp trong đêm hơi xấu còn nv phục_vụ nhiệt_tình chu_đáo,5,2020-07-16,Positive,5,2,1
14,14,mình mua dc 1 tuần máy phát trực_tiếp tự_nhiên tắt nguồn bắt sống wifi quá yêu hối_hận,1,2020-04-21,Negative,0,0,3
15,15,sản_phẩm quá tuyệt_vời iphone 7plus camera đẹp chơi game sợ 1 game nào nặng mượt game nào đồ_họa cao chơi sụt pin nhanh máy nóng sao iphone 7 plus tuyệt_vời lắm,5,2018-04-18,Positive,2,1,1
16,16,dùng ok mượt k nóng đt 5 6 triệu mở max cấu_hình ròi kêu nóng nhân_viên nhiệt_tình,5,2019-07-12,Positive,3,0,0
17,17,mới mua 1 ngày ck dùng j6 còn mình dùng con wifi ck m nào 3 vạch dt 2 vạch 1 vạch đứng luôn k hieur sao dùng thấy bực_mình,3,2019-11-18,Negative,0,0,1
18,18,dùng đơ máy bấm mãi mới khởi_động song nóng ran chán ko buồn nói kêu bảo_hành phần_mềm chọn đời dùng dc hỏng,1,2020-04-21,Negative,0,0,1
19,19,lỗi phầm mềm sạc pin ko đem bảo_trì cài máy ko hết lỗi mua quả máy 4tr100k ram 3gb về chơi pubg lag vãi chưởng,1,2020-03-17,Negative,0,1,2
20,20,máy dùng tốt tầm giá khá nhanh_nhạy pin trâu lần đâu tiên mua máy tới 2tr ưng ghê luôn á mọi người mua,5,2020-03-30,Positive,3,1,0
